Account Activity,Business Type,Value,Year,,,,,,,,,,,,,,,,,,,,,
Operating Revenues,Airports,1407938,2022,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,Airports,-1373146,2022,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),Airports,34792,2022,,,,,,,,,,,,,,,,,,,,,
Net Nonoperating Revenues (Expenses),Airports,-243502,2022,,,,,,,,,,,,,,,,,,,,,
Capital Contributions,Airports,45638,2022,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Airports,0,2022,,,,,,,,,,,,,,,,,,,,,
Change in Net Position,Airports,-163072,2022,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Airports,0,2022,,,,,,,,,,,,,,,,,,,,,
Operating Revenues,Harbor,627842,2022,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,Harbor,-401904,2022,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),Harbor,225938,2022,,,,,,,,,,,,,,,,,,,,,
Net Nonoperating Revenues (Expenses),Harbor,-70318,2022,,,,,,,,,,,,,,,,,,,,,
Capital Contributions,Harbor,11906,2022,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Harbor,0,2022,,,,,,,,,,,,,,,,,,,,,
Change in Net Position,Harbor,167526,2022,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Harbor,0,2022,,,,,,,,,,,,,,,,,,,,,
Operating Revenues,Power,4593760,2022,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,Power,-3792772,2022,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),Power,800988,2022,,,,,,,,,,,,,,,,,,,,,
Net Nonoperating Revenues (Expenses),Power,-369563,2022,,,,,,,,,,,,,,,,,,,,,
Capital Contributions,Power,100865,2022,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Power,-225015,2022,,,,,,,,,,,,,,,,,,,,,
Change in Net Position,Power,307275,2022,,,,,,,,,,,,,,,,,,,,,
Operating Revenues,Water,1606678,2022,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,Water,-1200142,2022,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),Water,406536,2022,,,,,,,,,,,,,,,,,,,,,
Net Nonoperating Revenues (Expenses),Water,-215089,2022,,,,,,,,,,,,,,,,,,,,,
Capital Contributions,Water,41137,2022,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Water,0,2022,,,,,,,,,,,,,,,,,,,,,
Change in Net Position,Water,232584,2022,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Water,0,2022,,,,,,,,,,,,,,,,,,,,,
Operating Revenues,Sewer,739666,2022,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,Sewer,-546907,2022,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),Sewer,192759,2022,,,,,,,,,,,,,,,,,,,,,
Net Nonoperating Revenues (Expenses),Sewer,-23584,2022,,,,,,,,,,,,,,,,,,,,,
Capital Contributions,Sewer,11723,2022,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Sewer,0,2022,,,,,,,,,,,,,,,,,,,,,
Change in Net Position,Sewer,180898,2022,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Sewer,0,2022,,,,,,,,,,,,,,,,,,,,,
Operating Revenues,Convention Center,33606,2022,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,Convention Center,-43337,2022,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),Convention Center,-9731,2022,,,,,,,,,,,,,,,,,,,,,
Net Nonoperating Revenues (Expenses),Convention Center,17,2022,,,,,,,,,,,,,,,,,,,,,
Capital Contributions,Convention Center,0,2022,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Convention Center,0,2022,,,,,,,,,,,,,,,,,,,,,
Change in Net Position,Convention Center,-9714,2022,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Convention Center,0,2022,,,,,,,,,,,,,,,,,,,,,
Operating Revenues,Airports,1072156,2021,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,Airports,-1237759,2021,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),Airports,-165603,2021,,,,,,,,,,,,,,,,,,,,,
Net Nonoperating Revenues (Expenses),Airports,-214858,2021,,,,,,,,,,,,,,,,,,,,,
Capital Contributions,Airports,331730,2021,,,,,,,,,,,,,,,,,,,,,
Change in Net Position,Airports,-48731,2021,,,,,,,,,,,,,,,,,,,,,
Transfers Out,Airports,0,2021,,,,,,,,,,,,,,,,,,,,,
Operating Revenues,Harbor,572011,2021,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,Harbor,-427272,2021,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),Harbor,144739,2021,,,,,,,,,,,,,,,,,,,,,
Net Nonoperating Revenues (Expenses),Harbor,-23195,2021,,,,,,,,,,,,,,,,,,,,,
Capital Contributions,Harbor,7116,2021,,,,,,,,,,,,,,,,,,,,,
