Year,Category,Business-Type,Description,Governmental,Total
2022,Assets,16691000000,Current and other assets,14034000000,30725000000
2022,Assets,48058000000,Capital assets,8665000000,56723000000
2022,Assets,64749000000,Total assets,22699000000,87448000000
2022,Assets,1010000000,Deferred outlflows of resources,2775000000,3785000000
2022,Liabilities,2027000000,Current and other liabilities,1723000000,3750000000
2022,Liabilities,36541000000,Long-term liabilities,10998000000,47539000000
2022,Liabilities,38568000000,Total liabilities,12721000000,51289000000
2022,Liabilities,4175000000,Deferred inflows of resources,7220000000,11395000000
2022,Net position,15891000000,Net Investment in Capital Assets,6466000000,22357000000
2022,Net position,1787000000,Restricted,4307000000,6094000000
2022,Net position,5338000000,Unrestricted,-5240000000,98000000
2022,Net position,23016000000,Total net position,5533000000,28549000000
2021,Assets,12603000000,Current and other assets,9924000000,22527000000
2021,Assets,46256000000,Capital assets,8524000000,54780000000
2021,Assets,58859000000,Total assets,18448000000,77307000000
2021,Assets,1638000000,Deferred outlflows of resources,4174000000,5812000000
2021,Liabilities,2159000000,Current and other liabilities,1788000000,3947000000
2021,Liabilities,35169000000,Long-term liabilities,17199000000,52368000000
2021,Liabilities,37328000000,Total liabilities,18987000000,56315000000
2021,Liabilities,883000000,Deferred inflows of resources,784000000,1667000000
2021,Net position,15745000000,Net Investment in Capital Assets,6289000000,22034000000
2021,Net position,1840000000,Restricted,4096000000,5936000000
2021,Net position,4701000000,Unrestricted,-7534000000,-2833000000
2021,Net position,22286000000,Total net position,2851000000,25137000000
2020,Assets,12199000000,Current and other assets,9602000000,21801000000
2020,Assets,42852000000,Capital assets,8335000000,51187000000
2020,Assets,55051000000,Total assets,17937000000,72988000000
2020,Assets,1348000000,Deferred outlflows of resources,2746000000,4094000000
2020,Liabilities,1896000000,Current and other liabilities,1846000000,3742000000
2020,Liabilities,32410000000,Long-term liabilities,14791000000,47201000000
2020,Liabilities,34306000000,Total liabilities,16637000000,50943000000
2020,Liabilities,776000000,Deferred inflows of resources,1251000000,2027000000
2020,Net position,15182000000,Net Investment in Capital Assets,6113000000,21295000000
2020,Net position,2223000000,Restricted,4126000000,6349000000
2020,Net position,3913000000,Unrestricted,-7445000000,-3532000000
2020,Net position,21318000000,Total net position,2794000000,24112000000
2019,Assets,13454000000,Current and other assets,8589000000,22043000000
2019,Assets,40379000000,Capital assets,8183000000,48562000000
2019,Assets,53833000000,Total assets,16772000000,70605000000
2019,Assets,1386000000,Deferred outlflows of resources,2604000000,3990000000
2019,Liabilities,1728000000,Current and other liabilities,918000000,2646000000
2019,Liabilities,31821000000,Long-term liabilities,14435000000,46256000000
2019,Liabilities,33549000000,Total liabilities,15353000000,48902000000
2019,Liabilities,867000000,Deferred inflows of resources,1616000000,2483000000
2019,Net position,14515000000,Net Investment in Capital Assets,5890000000,20405000000
2019,Net position,2201000000,Restricted,3498000000,5699000000
2019,Net position,4087000000,Unrestricted,-6981000000,-2894000000
2019,Net position,20803000000,Total net position,2407000000,23210000000
2018,Assets,11922000000,Current and other assets,7071000000,18993000000
2018,Assets,37902000000,Capital assets,7893000000,45795000000
2018,Assets,49824000000,Total assets,14964000000,64788000000
2018,Assets,1584000000,Deferred outlflows of resources,2334000000,3918000000
2018,Liabilities,1651000000,Current and other liabilities,915000000,2566000000
2018,Liabilities,29126000000,Long-term liabilities,14467000000,43593000000
2018,Liabilities,30777000000,Total liabilities,15383000000,46160000000
2018,Liabilities,917000000,Deferred inflows of resources,1551000000,2468000000
2018,Net position,14032000000,Net Investment in Capital Assets,5700000000,19732000000
2018,Net position,2002000000,Restricted,2686000000,4688000000
2018,Net position,3680000000,Unrestricted,-8022000000,-4342000000
2018,Net position,19714000000,Total net position,364000000,20078000000
2017,Assets,12705000000,Current and other assets,6879000000,19584000000
2017,Assets,35667000000,Capital assets,7704000000,43371000000
2017,Assets,48372000000,Total assets,14583000000,62955000000
2017,Assets,2088000000,Deferred outlflows of resources,2428000000,4516000000
2017,Liabilities,1945000000,Current and other liabilities,1070000000,3015000000
2017,Liabilities,28215000000,Long-term liabilities,13492000000,41707000000
2017,Liabilities,30160000000,Total liabilities,14562000000,44722000000
2017,Liabilities,597000000,Deferred inflows of resources,1173000000,1770000000
2017,Net position,12799000000,Net Investment in Capital Assets,5385000000,18184000000
2017,Net position,3421000000,Restricted,2472000000,5893000000
2017,Net position,3481000000,Unrestricted,-6579000000,-3098000000
2017,Net position,19701000000,Total net position,1278000000,20979000000
2016,Assets,12285000000,Current and other assets,6649000000,18934000000
2016,Assets,34063000000,Capital assets,7593000000,41656000000
2016,Assets,46348000000,Total assets,14242000000,60590000000
2016,Assets,1122000000,Deferred outlflows of resources,1799000000,2921000000
2016,Liabilities,1719000000,Current and other liabilities,934000000,2653000000
2016,Liabilities,25822000000,Long-term liabilities,12637000000,38459000000
2016,Liabilities,27541000000,Total liabilities,13571000000,41112000000
2016,Liabilities,907000000,Deferred inflows of resources,1625000000,2532000000
2016,Net position,11991000000,Net Investment in Capital Assets,5268000000,17259000000
2016,Net position,3406000000,Restricted,2136000000,5542000000
2016,Net position,3626000000,Unrestricted,-6560000000,-2934000000
2016,Net position,19023000000,Total net position,844000000,19867000000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
