Revenue,Value,FY
Property Taxes,1808486,2016
Other Taxes,586375,2016
Utility Users' Taxes,614814,2016
Business Taxes,507635,2016
Sales Taxes,437775,2016
Charges for Services,318462,2016
Fines,152304,2016
Licenses and Permits,32728,2016
Investment Earnings,18272,2016
Intergovernmental,20691,2016
Other,395495,2016
Property Taxes,1857683,2017
Other Taxes,641755,2017
Utility Users' Taxes,611160,2017
Business Taxes,546494,2017
Sales Taxes,521910,2017
Charges for Services,243379,2017
Fines,147023,2017
Licenses and Permits,37133,2017
Investment Earnings,25353,2017
Intergovernmental,15337,2017
Other,407857,2017
Property Taxes,1958033,2018
Other Taxes,688804,2018
Utility Users' Taxes,640711,2018
Business Taxes,534994,2018
Sales Taxes,534236,2018
Charges for Services,315900,2018
Fines,141346,2018
Licenses and Permits,38777,2018
Investment Earnings,33024,2018
Intergovernmental,17822,2018
Other,399793,2018
Property Taxes,2075764,2019
Other Taxes,729649,2019
Utility Users' Taxes,606369,2019
Business Taxes,617169,2019
Sales Taxes,596465,2019
Charges for Services,306462,2019
Fines,135526,2019
Licenses and Permits,34157,2019
Investment Earnings,84257,2019
Intergovernmental,23062,2019
Other,428192,2019
Property Taxes,2213899,2020
Other Taxes,620653,2020
Utility Users' Taxes,643564,2020
Business Taxes,668035,2020
Sales Taxes,536362,2020
Charges for Services,351983,2020
Fines,113643,2020
Licenses and Permits,34999,2020
Investment Earnings,99248,2020
Intergovernmental,27284,2020
Other,434881,2020
Property Taxes,2401848,2021
Other Taxes,521955,2021
Utility Users' Taxes,610946,2021
Business Taxes,686520,2021
Sales Taxes,562217,2021
Charges for Services,358772,2021
Fines,100559,2021
Licenses and Permits,29390,2021
Investment Earnings,-5993,2021
Intergovernmental,28145,2021
Other,376319,2021
Property Taxes,2492320,2022
Other Taxes,778563,2022
Utility Users' Taxes,632433,2022
Business Taxes,756960,2022
Sales Taxes,694218,2022
Charges for Services,341191,2022
Fines,116805,2022
Licenses and Permits,31493,2022
Investment Earnings,-110130,2022
Intergovernmental,43171,2022
Other,392111,2022
