Year,Activity Type, Sum of Revenue 
2016,Business-Type, 764721300000  
2016,Governmental, 733575800000  
2017,Business-Type, 795153200000  
2017,Governmental, 731594900000  
2018,Business-Type, 824526300000  
2018,Governmental, 775111900000  
2019,Business-Type, 902984700000  
2019,Governmental, 915820200000  
2020,Business-Type, 865575700000  
2020,Governmental, 880779600000  
2021,Business-Type, 904326400000  
2021,Governmental, 932029400000  
2022,Business-Type, 971648100000  
2022,Governmental, 1023644600000  
2023,Business-Type, 1140892400000  
2023,Governmental, 1022461900000  
