Activity Type,Fiscal Year,Total,Value,,,,,,,,,,,,,,,,,,,,,
Governmental,2022,37316305000,2757396000,,,,,,,,,,,,,,,,,,,,,
Governmental,2021,34228569000,2777487000,,,,,,,,,,,,,,,,,,,,,
Governmental,2020,31934783000,2944403000,,,,,,,,,,,,,,,,,,,,,
Governmental,2019,31491081000,3127817000,,,,,,,,,,,,,,,,,,,,,
Governmental,2018,28525407000,2952778000,,,,,,,,,,,,,,,,,,,,,
Governmental,2017,27446217000,3044587000,,,,,,,,,,,,,,,,,,,,,
Governmental,2016,26441495000,3190467000,,,,,,,,,,,,,,,,,,,,,
Governmental,2015,25109806000,3347395000,,,,,,,,,,,,,,,,,,,,,
Governmental,2014,23761754000,3612335000,,,,,,,,,,,,,,,,,,,,,
Governmental,2013,22846545000,3872229000,,,,,,,,,,,,,,,,,,,,,
Governmental,2012,21364209000,4077497000,,,,,,,,,,,,,,,,,,,,,
Governmental,2011,21569921000,4116065000,,,,,,,,,,,,,,,,,,,,,
Governmental,2010,19365106000,4240365000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2022,37316305000,34558909000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2021,34228569000,31451082000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2020,31934783000,28990380000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2019,31491081000,28363265000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2018,28525407000,25572629000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2017,27446217000,24401630000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2016,26441495000,23251028000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2015,25109806000,21762411000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2014,23761754000,20149419000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2013,22846545000,18974316000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2012,21364209000,17286712000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2011,21569921000,17453856000,,,,,,,,,,,,,,,,,,,,,
Business-Type,2010,19365106000,15124741000,,,,,,,,,,,,,,,,,,,,,
