City's Debt Type,Rating Agency,Rating,Year,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Moody's Investors Service,Aa2,2022,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,S&P Global Ratings,AA,2022,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Fitch Ratings,AAA,2022,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Kroll Bond Rating Agency,AA+,2022,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Moody's Investors Service,Aa2,2021,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,S&P Global Ratings,AA,2021,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Fitch Ratings,AA,2021,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Kroll Bond Rating Agency,AA+,2021,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Moody's Investors Service,Aa2,2020,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,S&P Global Ratings,AA,2020,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Fitch Ratings,AA,2020,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Kroll Bond Rating Agency,AA+,2020,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Moody's Investors Service,Aa2,2019,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,S&P Global Ratings,AA,2019,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Fitch Ratings,AA,2019,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Kroll Bond Rating Agency,AA+,2019,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Moody's Investors Service,Aa2,2018,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,S&P Global Ratings,AA,2018,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Fitch Ratings,AA-,2018,,,,,,,,,,,,,,,,,,,,,,
General Obligation Bonds,Kroll Bond Rating Agency,AA,2018,,,,,,,,,,,,,,,,,,,,,,
