Employer,22 Employees,22 Rank,22 % of Total,13 Employees,13 Rank,"13 % of Total"
Kaiser Permanente,"44,769",1,0.90%,"35,991",1,0.70%
University of Southern California,"23,227",2,0.50%,"14,722",5,0.30%
Northrop Grumman Corp.,"18,000",3,0.40%,"17,000",2,0.30%
Cedars-Sinai Medical Center,"16,730",4,0.30%,"10,243",10,0.20%
Allied Universal,"15,326",5,0.30%,--,--,--
Target Corp.,"15,000",6,0.30%,"15,000",3,0.30%
Providence Health & Services Southern California,"14,395",7,0.30%,"15,000",4,0.30%
Ralphs/Food 4 Less/Kroger,"14,000",8,0.30%,"13,500",7,0.30%
Walt Disney Co.,"12,200",9,0.20%,--,--,
Boeing Co.," 12,005 ",10,0.20%,"10,500",9,0.20%
Bank of America Corp.,--,--,--,"13,500",6,0.30%
Home Depot,--,--,--," 10,600 ",8,0.20%
All Others,"4,799,148",--,96.30%,"4,826,344",--,96.90%
TOTAL,"4,984,800",,100.00%,"4,982,400",,100.00%
