Account Activity,Business Type,Value,Year
Change in Net Position,Airports," 413,706.00 ",2023
Change in Net Position,Harbor," 209,961.00 ",2023
Change in Net Position,Power," 601,772.00 ",2023
Change in Net Position,Water," 313,235.00 ",2023
Change in Net Position,Sewer," 28,639.00 ",2023
Change in Net Position,Convention Center," (5,826.00)",2023
Change in Net Position,Airports," (163,072.00)",2022
Change in Net Position,Harbor," 167,526.00 ",2022
Change in Net Position,Power," 307,275.00 ",2022
Change in Net Position,Water," 232,584.00 ",2022
Change in Net Position,Sewer," 180,898.00 ",2022
Change in Net Position,Convention Center," (9,714.00)",2022
Change in Net Position,Airports," (48,731.00)",2021
Change in Net Position,Harbor," 128,660.00 ",2021
Change in Net Position,Power," 415,587.00 ",2021
Change in Net Position,Water," 290,639.00 ",2021
Change in Net Position,Sewer," 200,671.00 ",2021
Change in Net Position,Convention Center," (17,933.00)",2021
Change in Net Position,Airports," 103,915.00 ",2020
Change in Net Position,Harbor," 58,345.00 ",2020
Change in Net Position,Power," 90,152.00 ",2020
Change in Net Position,Water," 208,613.00 ",2020
Change in Net Position,Sewer," 109,010.00 ",2020
Change in Net Position,Convention Center," (12,535.00)",2020
Change in Net Position,Airports," 477,340.00 ",2019
Change in Net Position,Convention Center," (11,652.00)",2019
Change in Net Position,Harbor," 168,807.00 ",2019
Change in Net Position,Power," 226,947.00 ",2019
Change in Net Position,Sewer," 60,371.00 ",2019
Change in Net Position,Water," 167,147.00 ",2019
Change in Net Position,Airports," 394,417.00 ",2018
Change in Net Position,Convention Center," (9,234.00)",2018
Change in Net Position,Harbor," 93,351.00 ",2018
Change in Net Position,Power," 278,190.00 ",2018
Change in Net Position,Sewer," 136,766.00 ",2018
Change in Net Position,Water," 200,273.00 ",2018
Change in Net Position,Airports," 171,661.00 ",2017
Change in Net Position,Convention Center," (7,497.00)",2017
Change in Net Position,Harbor," 103,443.00 ",2017
Change in Net Position,Power," 176,866.00 ",2017
Change in Net Position,Sewer," 93,541.00 ",2017
Change in Net Position,Water," 140,501.00 ",2017
Change in Net Position,Airports," 405,400.00 ",2016
Change in Net Position,Convention Center," (5,206.00)",2016
Change in Net Position,Harbor," 99,056.00 ",2016
Change in Net Position,Power," 175,305.00 ",2016
Change in Net Position,Sewer," 74,680.00 ",2016
Change in Net Position,Water," 154,171.00 ",2016
