Year,Category,Business-Type,Description,Governmental,Total
2023,Assets," 15,356,000,000.00 ",Current and other assets," 11,881,000,000.00 "," 27,237,000,000.00 ",
2023,Assets," 50,982,000,000.00 ",Capital assets," 8,661,000,000.00 "," 59,643,000,000.00 ",
2023,Assets," 66,338,000,000.00 ",Total assets," 20,542,000,000.00 "," 86,880,000,000.00 ",
2023,Assets," 1,924,000,000.00 ",Deferred outflows of resources," 3,267,000,000.00 "," 5,191,000,000.00 ",
2023,Liabilities," 1,921,000,000.00 ",Current and other liabilities," 1,452,000,000.00 "," 3,373,000,000.00 ",
2023,Liabilities," 40,283,000,000.00 ",Long-term liabilities," 15,130,000,000.00 "," 55,413,000,000.00 ",
2023,Liabilities," 42,204,000,000.00 ",Total liabilities," 16,582,000,000.00 "," 58,786,000,000.00 ",
2023,Liabilities," 1,480,000,000.00 ",Deferred inflows of resources," 1,217,000,000.00 "," 2,698,000,000.00 ",
2023,Net position," 16,196,000,000.00 ",Net Investment in Capital Assets," 6,546,000,000.00 "," 22,742,000,000.00 ",
2023,Net position," 2,183,000,000.00 ",Restricted," 4,691,000,000.00 "," 6,874,000,000.00 ",
2023,Net position," 6,199,000,000.00 ",Unrestricted," 5,227,000,000.00 "," 972,000,000.00 ",
2023,Net position," 24,578,000,000.00 ",Total net position," 6,010,000,000.00 "," 30,588,000,000.00 ",
2022,Assets," 16,691,000,000.00 ",Current and other assets," 14,034,000,000.00 "," 30,725,000,000.00 ",
2022,Assets," 48,058,000,000.00 ",Capital assets," 8,665,000,000.00 "," 56,723,000,000.00 ",
2022,Assets," 64,749,000,000.00 ",Total assets," 22,699,000,000.00 "," 87,448,000,000.00 ",
2022,Assets," 1,010,000,000.00 ",Deferred outflows of resources," 2,775,000,000.00 "," 3,785,000,000.00 ",
2022,Liabilities," 2,027,000,000.00 ",Current and other liabilities," 1,723,000,000.00 "," 3,750,000,000.00 ",
2022,Liabilities," 36,541,000,000.00 ",Long-term liabilities," 10,998,000,000.00 "," 47,539,000,000.00 ",
2022,Liabilities," 38,568,000,000.00 ",Total liabilities," 12,721,000,000.00 "," 51,289,000,000.00 ",
2022,Liabilities," 4,175,000,000.00 ",Deferred inflows of resources," 7,220,000,000.00 "," 11,395,000,000.00 ",
2022,Net position," 15,891,000,000.00 ",Net Investment in Capital Assets," 6,466,000,000.00 "," 22,357,000,000.00 ",
2022,Net position," 1,787,000,000.00 ",Restricted," 4,307,000,000.00 "," 6,094,000,000.00 ",
2022,Net position," 5,338,000,000.00 ",Unrestricted," 5,240,000,000.00 "," 98,000,000.00 ",
2022,Net position," 23,016,000,000.00 ",Total net position," 5,533,000,000.00 "," 28,549,000,000.00 ",
2021,Assets," 12,603,000,000.00 ",Current and other assets," 9,924,000,000.00 "," 22,527,000,000.00 ",
2021,Assets," 46,256,000,000.00 ",Capital assets," 8,524,000,000.00 "," 54,780,000,000.00 ",
2021,Assets," 58,859,000,000.00 ",Total assets," 18,448,000,000.00 "," 77,307,000,000.00 ",
2021,Assets," 1,638,000,000.00 ",Deferred outflows of resources," 4,174,000,000.00 "," 5,812,000,000.00 ",
2021,Liabilities," 2,159,000,000.00 ",Current and other liabilities," 1,788,000,000.00 "," 3,947,000,000.00 ",
2021,Liabilities," 35,169,000,000.00 ",Long-term liabilities," 17,199,000,000.00 "," 52,368,000,000.00 ",
