Year,Activity Type,Activity,Revenue Type,Revenue
2016,Business-Type,Charges for Services,Program Revenues,7033285000
2016,Business-Type,Capital Grants and Contributions,Program Revenues,232183000
2016,Business-Type,Unrestricted Investment Earnings,General Revenues,129316000
2016,Business-Type,Other Revenues,General Revenues,252429000
2016,Governmental,Charges for Services,Program Revenues,2012111000
2016,Governmental,Operating Grants and Contributions,Program Revenues,827258000
2016,Governmental,Capital Grants and Contributions,Program Revenues,123757000
2016,Governmental,Property Taxes,General Revenues,1844945000
2016,Governmental,Utility Users' Taxes,General Revenues,613748000
2016,Governmental,Business Taxes,General Revenues,610467000
2016,Governmental,Sales Tax,General Revenues,538123000
2016,Governmental,Other Taxes,General Revenues,660072000
2016,Governmental,Unrestricted Grants and Contributions,General Revenues,8009000
2016,Governmental,Unrestricted Investment Earnings,General Revenues,39737000
2016,Governmental,Other Revenues,General Revenues,57531000
2017,Business-Type,Charges for Services,Program Revenues,7344966000
2017,Business-Type,Capital Grants and Contributions,Program Revenues,186635000
2017,Business-Type,Unrestricted Investment Earnings,General Revenues,32997000
2017,Business-Type,Other Revenues,General Revenues,386934000
2017,Governmental,Charges for Services,Program Revenues,1991694000
2017,Governmental,Operating Grants and Contributions,Program Revenues,774953000
2017,Governmental,Capital Grants and Contributions,Program Revenues,145509000
2017,Governmental,Property Taxes,General Revenues,1991949000
2017,Governmental,Utility Users' Taxes,General Revenues,629952000
2017,Governmental,Business Taxes,General Revenues,433985000
2017,Governmental,Sales Tax,General Revenues,538651000
2017,Governmental,Other Taxes,General Revenues,727376000
2017,Governmental,Unrestricted Grants and Contributions,General Revenues,16758000
2017,Governmental,Unrestricted Investment Earnings,General Revenues,1291000
2017,Governmental,Other Revenues,General Revenues,63831000
2018,Business-Type,Charges for Services,Program Revenues,7659448000
2018,Business-Type,Capital Grants and Contributions,Program Revenues,153892000
2018,Business-Type,Unrestricted Investment Earnings,General Revenues,54763000
2018,Business-Type,Other Revenues,General Revenues,377160000
2018,Governmental,Charges for Services,Program Revenues,2061474000
2018,Governmental,Operating Grants and Contributions,Program Revenues,866203000
2018,Governmental,Capital Grants and Contributions,Program Revenues,152315000
2018,Governmental,Property Taxes,General Revenues,2108154000
2018,Governmental,Utility Users' Taxes,General Revenues,614335000
2018,Governmental,Business Taxes,General Revenues,542349000
2018,Governmental,Sales Tax,General Revenues,517495000
2018,Governmental,Other Taxes,General Revenues,802548000
2018,Governmental,Unrestricted Grants and Contributions,General Revenues,22053000
2018,Governmental,Unrestricted Investment Earnings,General Revenues,7142000
2018,Governmental,Other Revenues,General Revenues,57051000
2019,Business-Type,Charges for Services,Program Revenues,8114768000
2019,Business-Type,Capital Grants and Contributions,Program Revenues,144066000
2019,Business-Type,Unrestricted Investment Earnings,General Revenues,281122000
2019,Business-Type,Other Revenues,General Revenues,489891000
2019,Governmental,Charges for Services,Program Revenues,2195352000
2019,Governmental,Operating Grants and Contributions,Program Revenues,1697057000
2019,Governmental,Capital Grants and Contributions,Program Revenues,136649000
2019,Governmental,Property Taxes,General Revenues,2251463000
2019,Governmental,Utility Users' Taxes,General Revenues,621192000
2019,Governmental,Business Taxes,General Revenues,607786000
2019,Governmental,Sales Tax,General Revenues,607211000
2019,Governmental,Other Taxes,General Revenues,819807000
2019,Governmental,Unrestricted Grants and Contributions,General Revenues,22001000
2019,Governmental,Unrestricted Investment Earnings,General Revenues,86819000
2019,Governmental,Other Revenues,General Revenues,112865000
2020,Business-Type,Charges for Services,Program Revenues,7707747000
2020,Business-Type,Capital Grants and Contributions,Program Revenues,226943000
2020,Business-Type,Unrestricted Investment Earnings,General Revenues,322371000
2020,Business-Type,Other Revenues,General Revenues,398696000
2020,Governmental,Charges for Services,Program Revenues,2204111000
2020,Governmental,Operating Grants and Contributions,Program Revenues,1331396000
2020,Governmental,Capital Grants and Contributions,Program Revenues,153045000
2020,Governmental,Property Taxes,General Revenues,2374311000
2020,Governmental,Utility Users' Taxes,General Revenues,642036000
2020,Governmental,Business Taxes,General Revenues,677241000
2020,Governmental,Sales Tax,General Revenues,534631000
2020,Governmental,Other Taxes,General Revenues,706645000
2020,Governmental,Unrestricted Grants and Contributions,General Revenues,24703000
2020,Governmental,Unrestricted Investment Earnings,General Revenues,94910000
2020,Governmental,Other Revenues,General Revenues,64767000
2021,Business-Type,Charges for Services,Program Revenues,8184078000
2021,Business-Type,Capital Grants and Contributions,Program Revenues,554659000
2021,Business-Type,Unrestricted Investment Earnings,General Revenues,125000
2021,Business-Type,Other Revenues,General Revenues,304402000
2021,Governmental,Charges for Services,Program Revenues,1993805000
2021,Governmental,Operating Grants and Contributions,Program Revenues,2123367000
2021,Governmental,Capital Grants and Contributions,Program Revenues,99905000
2021,Governmental,Property Taxes,General Revenues,2551138000
2021,Governmental,Utility Users' Taxes,General Revenues,604106000
2021,Governmental,Business Taxes,General Revenues,743877000
2021,Governmental,Sales Tax,General Revenues,560962000
2021,Governmental,Other Taxes,General Revenues,564069000
2021,Governmental,Unrestricted Grants and Contributions,General Revenues,41161000
2021,Governmental,Unrestricted Investment Earnings (Losses),General Revenues,-4485000
2021,Governmental,Other Revenues,General Revenues,42389000
2022,Business-Type,Charges for Services,Program Revenues,9009490000
2022,Business-Type,Operating Grants and Contributions,Program Revenues,367456000
2022,Business-Type,Capital Grants and Contributions,Program Revenues,211269000
2022,Business-Type,Unrestricted Investment Earnings,General Revenues,-281224000
2022,Business-Type,Other Revenues,General Revenues,409490000
2022,Governmental,Charges for Services,Program Revenues,2235290000
2022,Governmental,Operating Grants and Contributions,Program Revenues,2086187000
2022,Governmental,Capital Grants and Contributions,Program Revenues,99390000
2022,Governmental,Property Taxes,General Revenues,2628691000
2022,Governmental,Utility Users' Taxes,General Revenues,634186000
2022,Governmental,Business Taxes,General Revenues,1019226000
2022,Governmental,Sales Tax,General Revenues,693438000
2022,Governmental,Other Taxes,General Revenues,842715000
2022,Governmental,Unrestricted Grants and Contributions,General Revenues,35874000
2022,Governmental,Unrestricted Investment Earnings,General Revenues,-110102000
2022,Governmental,Other Revenues,General Revenues,71551000
2023,Business-Type,Charges for Services,Program Revenues,9854989000
2023,Business-Type,Operating Grants and Contributions,Program Revenues,119074000
2023,Business-Type,Capital Grants and Contributions,Program Revenues,616983000
2023,Business-Type,Unrestricted Investment Earnings,General Revenues,154710000
2023,Business-Type,Other Revenues,General Revenues,663168000
2023,Governmental,Charges for Services,Program Revenues,2320295000
2023,Governmental,Operating Grants and Contributions,Program Revenues,1857329000
2023,Governmental,Capital Grants and Contributions,Program Revenues,136257000
2023,Governmental,Property Taxes,General Revenues,2819290000
2023,Governmental,Utility Users' Taxes,General Revenues,698003000
2023,Governmental,Business Taxes,General Revenues,626620000
2023,Governmental,Sales Tax,General Revenues,704815000
2023,Governmental,Other Taxes,General Revenues,935405000
2023,Governmental,Unrestricted Grants and Contributions,General Revenues,49341000
2023,Governmental,Unrestricted Investment Earnings,General Revenues,36818000
2023,Governmental,Other Revenues,General Revenues,40446000
2024,Business-Type,Charges for Services,Program Revenues,9883593000
2024,Business-Type,Operating Grants and Contributions,Program Revenues,80216000
2024,Business-Type,Capital Grants and Contributions,Program Revenues,507112000
2024,Business-Type,Unrestricted Investment Earnings,General Revenues,426586000
2024,Business-Type,Other Revenues,General Revenues,625660000
2024,Governmental,Charges for Services,Program Revenues,2260171000
2024,Governmental,Operating Grants and Contributions,Program Revenues,1550919000
2024,Governmental,Capital Grants and Contributions,Program Revenues,126031000
2024,Governmental,Property Taxes,General Revenues,2942568000
2024,Governmental,Utility Users' Taxes,General Revenues,660823000
2024,Governmental,Business Taxes,General Revenues,832888000
2024,Governmental,Sales Tax,General Revenues,677032000
2024,Governmental,Other Taxes,General Revenues,1023314000
2024,Governmental,Unrestricted Grants and Contributions,General Revenues,38430000
2024,Governmental,Unrestricted Investment Earnings,General Revenues,144309000
2024,Governmental,Other Revenues,General Revenues,71456000
