Account Activity,Business Type,Value,Year
Operating Revenues,Airports,1958111,2024
Operating Expenses,Airports,-1731056,2024
Operating Income (Loss),Airports,227055,2024
Net Nonoperating Revenues (Expenses),Airports,-53254,2024
Capital Contributions,Airports,128606,2024
Transfers Out,Airports,0,2024
Change in Net Position,Airports,302407,2024
Operating Revenues,Harbor,707040,2024
Operating Expenses,Harbor,-442958,2024
Operating Income (Loss),Harbor,264082,2024
Net Nonoperating Revenues (Expenses),Harbor,36221,2024
Capital Contributions,Harbor,54252,2024
Transfers Out,Harbor,0,2024
Change in Net Position,Harbor,354555,2024
Operating Revenues,Power,4825368,2024
Operating Expenses,Power,-4053405,2024
Operating Income (Loss),Power,771963,2024
Net Nonoperating Revenues (Expenses),Power,-13099,2024
Capital Contributions,Power,70492,2024
Transfers Out,Power,-244695,2024
Change in Net Position,Power,584661,2024
Operating Revenues,Water,1635533,2024
Operating Expenses,Water,-1227542,2024
Operating Income (Loss),Water,407991,2024
Net Nonoperating Revenues (Expenses),Water,-187847,2024
Capital Contributions,Water,238774,2024
Transfers Out,Water,0,2024
Change in Net Position,Water,458918,2024
Operating Revenues,Sewer,704175,2024
Operating Expenses,Sewer,-649118,2024
Operating Income (Loss),Sewer,55057,2024
Net Nonoperating Revenues (Expenses),Sewer,23654,2024
Capital Contributions,Sewer,14988,2024
Transfers Out,Sewer,0,2024
Change in Net Position,Sewer,93699,2024
Operating Revenues,Convention Center,53366,2024
Operating Expenses,Convention Center,-65864,2024
Operating Income (Loss),Convention Center,-12498,2024
Net Nonoperating Revenues (Expenses),Convention Center,515,2024
Capital Contributions,Convention Center,0,2024
Transfers Out,Convention Center,0,2024
Change in Net Position,Convention Center,-11983,2024
Operating Revenues,Airports,1752855,2023
Operating Expenses,Airports,-1550604,2023
Operating Income (Loss),Airports,202251,2023
Net Nonoperating Revenues (Expenses),Airports,-182776,2023
Capital Contributions,Airports,394231,2023
Transfers Out,Airports,0,2023
Change in Net Position,Airports,413706,2023
Operating Revenues,Harbor,656400,2023
Operating Expenses,Harbor,-494289,2023
Operating Income (Loss),Harbor,162111,2023
Net Nonoperating Revenues (Expenses),Harbor,4345,2023
Capital Contributions,Harbor,43505,2023
Transfers Out,Harbor,0,2023
Change in Net Position,Harbor,209961,2023
Operating Revenues,Power,4958539,2023
Operating Expenses,Power,-4216363,2023
Operating Income (Loss),Power,742176,2023
Net Nonoperating Revenues (Expenses),Power,14697,2023
Capital Contributions,Power,76942,2023
Transfers Out,Power,-232043,2023
Change in Net Position,Power,601772,2023
Operating Revenues,Water,1661278,2023
Operating Expenses,Water,-1243239,2023
Operating Income (Loss),Water,418039,2023
Net Nonoperating Revenues (Expenses),Water,-197624,2023
Capital Contributions,Water,92820,2023
Transfers Out,Water,0,2023
Change in Net Position,Water,313235,2023
Operating Revenues,Sewer,775945,2023
Operating Expenses,Sewer,-634984,2023
Operating Income (Loss),Sewer,140961,2023
Net Nonoperating Revenues (Expenses),Sewer,-121807,2023
Capital Contributions,Sewer,9485,2023
Transfers Out,Sewer,0,2023
Change in Net Position,Sewer,28639,2023
Operating Revenues,Convention Center,49972,2023
Operating Expenses,Convention Center,-55917,2023
Operating Income (Loss),Convention Center,-5945,2023
Net Nonoperating Revenues (Expenses),Convention Center,119,2023
Capital Contributions,Convention Center,0,2023
Transfers Out,Convention Center,0,2023
Change in Net Position,Convention Center,-5826,2023
Operating Revenues,Airports,1407938,2022
Operating Expenses,Airports,-1373146,2022
Operating Income (Loss),Airports,34792,2022
Net Nonoperating Revenues (Expenses),Airports,-243502,2022
Capital Contributions,Airports,45638,2022
Transfers Out,Airports,0,2022
