Account Activity,Business Type,Value,Year
Change in Net Position,Airports,302407,2024
Change in Net Position,Harbor,354555,2024
Change in Net Position,Power,584661,2024
Change in Net Position,Water,458918,2024
Change in Net Position,Sewer,93699,2024
Change in Net Position,Convention Center,-11983,2024
Change in Net Position,Airports,413706,2023
Change in Net Position,Harbor,209961,2023
Change in Net Position,Power,601772,2023
Change in Net Position,Water,313235,2023
Change in Net Position,Sewer,28639,2023
Change in Net Position,Convention Center,-5826,2023
Change in Net Position,Airports,-163072,2022
Change in Net Position,Harbor,167526,2022
Change in Net Position,Power,307275,2022
Change in Net Position,Water,232584,2022
Change in Net Position,Sewer,180898,2022
Change in Net Position,Convention Center,-9714,2022
Change in Net Position,Airports,-48731,2021
Change in Net Position,Harbor,128660,2021
Change in Net Position,Power,415587,2021
Change in Net Position,Water,290639,2021
Change in Net Position,Sewer,200671,2021
Change in Net Position,Convention Center,-17933,2021
Change in Net Position,Airports,103915,2020
Change in Net Position,Harbor,58345,2020
Change in Net Position,Power,90152,2020
Change in Net Position,Water,208613,2020
Change in Net Position,Sewer,109010,2020
Change in Net Position,Convention Center,-12535,2020
Change in Net Position,Airports,477340,2019
Change in Net Position,Convention Center,-11652,2019
Change in Net Position,Harbor,168807,2019
Change in Net Position,Power,226947,2019
Change in Net Position,Sewer,60371,2019
Change in Net Position,Water,167147,2019
Change in Net Position,Airports,394417,2018
Change in Net Position,Convention Center,-9234,2018
Change in Net Position,Harbor,93351,2018
Change in Net Position,Power,278190,2018
Change in Net Position,Sewer,136766,2018
Change in Net Position,Water,200273,2018
Change in Net Position,Airports,171661,2017
Change in Net Position,Convention Center,-7497,2017
Change in Net Position,Harbor,103443,2017
Change in Net Position,Power,176866,2017
Change in Net Position,Sewer,93541,2017
Change in Net Position,Water,140501,2017
Change in Net Position,Airports,405400,2016
Change in Net Position,Convention Center,-5206,2016
Change in Net Position,Harbor,99056,2016
Change in Net Position,Power,175305,2016
Change in Net Position,Sewer,74680,2016
Change in Net Position,Water,154171,2016
