Year,Category,Description,Governmental,Business-Type,Total,Unnamed: 6
2024,Assets,Current and other assets,11286000000,15037000000,26323000000,
2024,Assets,Capital assets,8979000000,53693000000,62672000000,
2024,Assets,Total assets,20265000000,68730000000,88995000000,
2024,Assets,Deferred outflows of resources,3227000000,2056000000,5283000000,
2024,Liabilities,Current and other liabilities,1546000000,1985000000,3531000000,
2024,Liabilities,Long-term liabilities,15131000000,40740000000,55871000000,
2024,Liabilities,Total liabilities,16677000000,42725000000,59402000000,
2024,Liabilities,Deferred inflows of resources,1485000000,1701000000,3186000000,
2024,Net position,Net Investment in Capital Assets,6759000000,17625000000,24384000000,
2024,Net position,Restricted,4378000000,2780000000,7158000000,
2024,Net position,Unrestricted,-5807000000,5955000000,148000000,
2024,Net position,Total net position,5330000000,26360000000,31690000000,
2023,Assets,Current and other assets,11881000000,15356000000,27237000000,
2023,Assets,Capital assets,8661000000,50982000000,59643000000,
2023,Assets,Total assets,20542000000,66338000000,86880000000,
2023,Assets,Deferred outflows of resources,3267000000,1924000000,5191000000,
2023,Liabilities,Current and other liabilities,1452000000,1921000000,3373000000, 
2023,Liabilities,Long-term liabilities,15130000000,40283000000,55413000000,
2023,Liabilities,Total liabilities,16582000000,42204000000,58786000000,
2023,Liabilities,Deferred inflows of resources,1217000000,1480000000,2697000000,0
2023,Net position,Net Investment in Capital Assets,6546000000,16196000000,22742000000,
2023,Net position,Restricted,4691000000,2183000000,6874000000,
2023,Net position,Unrestricted,-5227000000,6199000000,972000000,
2023,Net position,Total net position,6010000000,24578000000,30588000000,
2022,Assets,Current and other assets,14034000000,16691000000,30725000000,
2022,Assets,Capital assets,8665000000,48058000000,56723000000,
2022,Assets,Total assets,22699000000,64749000000,87448000000,
2022,Assets,Deferred outflows of resources,2775000000,1010000000,3785000000,
2022,Liabilities,Current and other liabilities,1723000000,2027000000,3750000000,
2022,Liabilities,Long-term liabilities,10998000000,36541000000,47539000000,
2022,Liabilities,Total liabilities,12721000000,38568000000,51289000000,
2022,Liabilities,Deferred inflows of resources,7220000000,4175000000,11395000000,
2022,Net position,Net Investment in Capital Assets,6466000000,15891000000,22357000000,
2022,Net position,Restricted,4307000000,1787000000,6094000000,
2022,Net position,Unrestricted,-5240000000,5338000000,98000000,
2022,Net position,Total net position,5533000000,23016000000,28549000000,
2021,Assets,Current and other assets,9924000000,12603000000,22527000000,
2021,Assets,Capital assets,8524000000,46256000000,54780000000,
2021,Assets,Total assets,18448000000,58859000000,77307000000,
2021,Assets,Deferred outflows of resources,4174000000,1638000000,5812000000,
2021,Liabilities,Current and other liabilities,1788000000,2159000000,3947000000,
2021,Liabilities,Long-term liabilities,17199000000,35169000000,52368000000,
2021,Liabilities,Total liabilities,18987000000,37328000000,56315000000,
2021,Liabilities,Deferred inflows of resources,784000000,883000000,1667000000,
2021,Net position,Net Investment in Capital Assets,6289000000,15745000000,22034000000,
2021,Net position,Restricted,4096000000,1840000000,5936000000,
2021,Net position,Unrestricted,-7534000000,4701000000,-2833000000,
2021,Net position,Total net position,2851000000,22286000000,25137000000,
2020,Assets,Current and other assets,9602000000,12199000000,21801000000,
2020,Assets,Capital assets,8335000000,42852000000,51187000000,
2020,Assets,Total assets,17937000000,55051000000,72988000000,
2020,Assets,Deferred outflows of resources,2746000000,1348000000,4094000000,
2020,Liabilities,Current and other liabilities,1846000000,1896000000,3742000000,
2020,Liabilities,Long-term liabilities,14791000000,32410000000,47201000000,
2020,Liabilities,Total liabilities,16637000000,34306000000,50943000000,
2020,Liabilities,Deferred inflows of resources,1251000000,776000000,2027000000,
2020,Net position,Net Investment in Capital Assets,6113000000,15182000000,21295000000,
2020,Net position,Restricted,4126000000,2223000000,6349000000,
2020,Net position,Unrestricted,-7445000000,3913000000,-3532000000,
2020,Net position,Total net position,2794000000,21318000000,24112000000,
2019,Assets,Current and other assets,8589000000,13454000000,22043000000,
2019,Assets,Capital assets,8183000000,40379000000,48562000000,
2019,Assets,Total assets,16772000000,53833000000,70605000000,
2019,Assets,Deferred outflows of resources,2604000000,1386000000,3990000000,
2019,Liabilities,Current and other liabilities,918000000,1728000000,2646000000,
2019,Liabilities,Long-term liabilities,14435000000,31821000000,46256000000,
2019,Liabilities,Total liabilities,15353000000,33549000000,48902000000,
2019,Liabilities,Deferred inflows of resources,1616000000,867000000,2483000000,
2019,Net position,Net Investment in Capital Assets,5890000000,14515000000,20405000000,
2019,Net position,Restricted,3498000000,2201000000,5699000000,
2019,Net position,Unrestricted,-6981000000,4087000000,-2894000000,
2019,Net position,Total net position,2407000000,20803000000,23210000000,
2018,Assets,Current and other assets,7071000000,11922000000,18993000000,
2018,Assets,Capital assets,7893000000,37902000000,45795000000,
2018,Assets,Total assets,14964000000,49824000000,64788000000,
2018,Assets,Deferred outflows of resources,2334000000,1584000000,3918000000,
2018,Liabilities,Current and other liabilities,915000000,1651000000,2566000000,
2018,Liabilities,Long-term liabilities,14467000000,29126000000,43593000000,
2018,Liabilities,Total liabilities,15383000000,30777000000,46160000000,
2018,Liabilities,Deferred inflows of resources,1551000000,917000000,2468000000,
2018,Net position,Net Investment in Capital Assets,5700000000,14032000000,19732000000,
2018,Net position,Restricted,2686000000,2002000000,4688000000,
2018,Net position,Unrestricted,-8022000000,3680000000,-4342000000,
2018,Net position,Total net position,364000000,19714000000,20078000000,
