FLAG,CATEGORY,FUNCTION,DEPARTMENT,PROGRAM,OPERATING INDICATOR / ASSET,UOM,UOM DESCRIPTION,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,NOTE,CONTROLLER NOTE
N,Capital Asset,General Government,Information Technology Agency,Data/Voice/Video Eng & Operations,Fiber optic cabling,#,fiber miles,150.0,150.0,150,150,150,150,150,150.0,150,150,150,150,150,150,150,3426,9876,9870,9870,9855,9843,NO longer ITA,"By fiscal year 2010, DWP took over possession, management and control over majority of the assets."
N,Capital Asset,Protection of Persons and Property,Animal Services,Animal Shelter Operations,Animal shelters,#,,6.0,6.0,6,6,6,6,6,6.0,6,6,6,6,6,6,6,6,6,6,6,6,6,,
Y,Capital Asset,Protection of Persons and Property,Fire,,Fire stations,#,,102.0,106.0,106,106,106,106,106,106.0,106,106,106,106,106,106,106,106,105,104,103,103,103,,
Y,Capital Asset,Protection of Persons and Property,Fire,,Fire apparatus,#,,408.0,414.0,413,416,401,462,400,381.0,380,377,367,367,337,336,362,362,360,360,360,360,360,,"""Fire trucks"" renamed to ""Fire apparatus""."
Y,Capital Asset,Protection of Persons and Property,Police,,Patrol units,#,,1370.0,1396.0,1402,1415,1358,1382,1380,1347.0,1345,1374,1374,1374,1374,1374,1374,1374,1374,1374,1276,1276,,,
Y,Capital Asset,Protection of Persons and Property,Police,,Police stations,#,,29.0,29.0,29,29,29,29,29,29.0,29,28,29,29,29,29,28,26,25,21,21,21,,,
Y,Capital Asset,Protection of Persons and Property,Police,,Police training centers,#,,3.0,3.0,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,,,
Y,Capital Asset,Public Works,Bureau of Engineering,,Number of Bridges,#,,516.0,516.0,516,512,512,512,515,515.0,515,517,517,514,508,508,508,509,507,507,533,533,533,,
Y,Capital Asset,Public Works,Bureau of Street Lighting,"System Operation, Maintenance and Repair",Street lights,#,,213619.0,216210.0,211437,205025,223000,223000,220000,219000.0,220000,210662,209397,207384,206757,204750,204000,207000,206000,231402,221113,218248,242000,This indicator is no longer in use,
Y,Capital Asset,Public Works,Street Services,,Streets,#,of centerline miles,6500.0,6500.0,6500,6500,6500,6500,6500,6500.0,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6489,6493,,,
Y,Capital Asset,Health and Sanitation,Sanitation,,Refuse collection trucks,#,,775.0,730.0,735,738,726,707,727,709.0,697,698,701,750,750,732,742,744,744,725,705,751,,,
Y,Capital Asset,Health and Sanitation,Sanitation,,Refuse yards,#,,6.0,6.0,6,6,6,6,6,6.0,6,6,6,6,6,6,6,6,6,6,6,6,,6 collection yards and 1 LSD yard,
Y,Capital Asset,Transportation,Transportation,,Automated traffic signal and control systems,#,,80.0,79.0,78,76,75,75,72,68.0,68,57,50,48,48,48,48,48,46,41,46,43,,,
Y,Capital Asset,Transportation,Transportation,,Bike paths,#,miles,18.0,18.0,15,15,15,15,15,14.0,14,14,14,14,13,13,13,12,12,12,14,14,,,
Y,Capital Asset,Transportation,Transportation,,Commuter buses,#,,599.0,498.0,470,469,432,392,392,390.0,399,387,385,371,361,407,450,468,440,488,535,516,,,
Y,Capital Asset,Transportation,Transportation,,Signalized Intersection & Signalized Midblock Pedestrian Crosswalk,#,,4892.0,4845.0,4835,4816,4789,4775,4744,4703.0,4697,4683,4677,4657,4625,4607,4589,4530,4515,4506,4555,4251,,,
Y,Capital Asset,Cultural and Recreational Services,Recreation and Parks,,Acres of beach land,#,,232.0,232.0,232,232,232,232,232,232.0,232,232,232,232,232,232,232,232,232,232,232,232,,,
Y,Capital Asset,Cultural and Recreational Services,Recreation and Parks,,Acres park land including beaches,#,,16188.0,16188.0,16172,16172,16171,16169,16169,15766.0,16152,16152,16149,16001,15865,15717,15717,15786,15710,15944,15822,15704,,,
