category,actual,estimated,projected
Property Tax:,,,
Property Tax 1%,1963066936,2016180000,2099275000
Property Tax - VLF Replacement,599814561,634906000,669000000
Total Property Tax,2562881497,2651086000,2768275000
Property Tax - Ex-CRA Tax Increment,136762060,136762000,142560000
Utility Users' Tax:,,,
Electric Users' Tax,453634362,473351000,476000000
Telephone Users' Tax,108940220,103368000,99233000
Gas Users' Tax,144552349,85937000,88119000
Total Utility Users' Tax,707126931,662656000,663352000
"Licenses, Permits, Fees and Fines:",,,
"Licenses, Permits, Fees, and Fines",297303274,348614000,309825000
Emergency Ambulance,147173084,162665000,160000000
Services to Proprietary Departments,190166346,185188000,190202000
Reimbursements from Other Funds,597464145,655226000,709590000
"Total Licenses, Permits, Fees and Fines",1232106849,1351693000,1369617000
Business Tax,825799446,793801000,816733000
Sales Tax,713602640,685959000,691446000
Documentary Transfer Tax,221265034,162267000,163403000
Power Revenue Transfer,232043000,244695000,226600000
Transient Occupancy Tax,274164334,296792000,296199000
Transient Occupancy Tax - Short-term Rental,35852461,34370000,34301000
Parking Fines,108273886,109000000,110000000
Parking Users' Tax,125064288,126573000,131999000
Franchise Income,173495952,135555000,136000000
Grant Receipts,106480455,90054000,64190000
Interest,59922333,89221000,85000000
State Motor Vehicle License Fees,3993565,3994000,3994000
Tobacco Settlement,10714254,11472000,11623000
Residential Development Tax,5086648,4469000,4768000
Special Parking Revenue Transfer,30426435,16500000,18321000
Transfer from Reserve Fund,16648364,136370000,
Total General Fund Revenue,7581710432,7743289000,7738381000
